p_val,avg_log2FC,pct.1,pct.2,p_val_adj,module,group
8.97491935065844e-130,1.29204766234529,0.433,0.206,6.28244354546091e-129,EXC-M3,Excitatory
1.08940058685892e-98,0.94200544344623,0.486,0.287,7.62580410801243e-98,EXC-M5,Excitatory
3.01544538629285e-53,-0.917977625172392,0.279,0.423,2.110811770405e-52,EXC-M2,Excitatory
4.29871707080596e-49,0.945585848528372,0.366,0.235,3.00910194956417e-48,EXC-M4,Excitatory
3.66824866201818e-26,0.441393968113229,0.467,0.373,2.56777406341273e-25,EXC-M7,Excitatory
8.96199771759516e-18,0.505404863780614,0.374,0.293,6.27339840231661e-17,EXC-M6,Excitatory
0.27310920092012,-1.03059784937109,0.304,0.298,1,EXC-M1,Excitatory
