p_val,avg_log2FC,pct.1,pct.2,p_val_adj,module,group
1.04538853121605e-117,1.12403735032754,0.349,0.192,9.40849678094443e-117,EXC-M4,Excitatory
3.70363176235902e-31,0.652307812776549,0.301,0.224,3.33326858612312e-30,EXC-M7,Excitatory
4.20891340143076e-28,-0.404457700690621,0.382,0.468,3.78802206128768e-27,EXC-M2,Excitatory
8.07447275801915e-23,-0.452049252046838,0.33,0.403,7.26702548221724e-22,EXC-M1,Excitatory
6.310796868611e-20,0.330800020902301,0.403,0.335,5.6797171817499e-19,EXC-M8,Excitatory
1.29822032909848e-11,-0.260699757183104,0.402,0.454,1.16839829618863e-10,EXC-M3,Excitatory
9.99777889749506e-05,-0.0382189008758055,0.374,0.406,0.000899800100774556,EXC-M5,Excitatory
0.00018075480340471,0.257041426689504,0.333,0.31,0.00162679323064239,EXC-M9,Excitatory
0.00256207141567383,-0.201230533864701,0.323,0.339,0.0230586427410645,EXC-M6,Excitatory
