p_val,avg_log2FC,pct.1,pct.2,p_val_adj,module,group
3.40395736452669e-27,1.23629201263767,0.431,0.209,1.02118720935801e-26,MIC-M2,Microglia
3.83316058123901e-24,1.49491784558048,0.405,0.217,1.1499481743717e-23,MIC-M1,Microglia
1.20969332176449e-09,1.6037300899457,0.173,0.083,3.62907996529347e-09,MIC-M3,Microglia
