p_val,avg_log2FC,pct.1,pct.2,p_val_adj,module,group
0,4.45822204516004,0.547,0.04,0,AST-M2,Astrocyte
4.22358688275938e-31,0.754401875497526,0.41,0.282,8.44717376551877e-31,AST-M1,Astrocyte
