A2M
AAAS
ABCA1
ABCA2
ABCA8
ABCA9
ABCC3
ABCC9
ABCD3
ABCG1
ABL1
ACAA1
ACAA2
ACAD10
ACADS
ACADVL
ACAN
ACOT8
ACOX3
ACSF3
ACSM5
ACTG1
ACTR3
ACVR1
ACVRL1
ADAM10
ADAM15
ADAMTS4
ADCY2
ADCY4
ADCY7
ADCY8
ADD1
ADGRG1
ADIPOR2
ADM
ADORA3
ADRA1A
AEBP1
AFAP1L2
AGBL1
AGO2
AGO3
AGT
AGTPBP1
AHCYL1
AHNAK
AHR
AIF1
AKAP13
AKR1A1
ALCAM
ALDH1A3
ALOX15B
ALPL
AMACR
AMOT
AMOTL2
ANAPC2
ANGPT1
ANGPT2
ANKRD28
ANKS1A
ANLN
ANPEP
ANXA2
ANXA3
APC
APOC2
APOE
AQP1
ARAP1
ARC
ARFGAP1
ARFIP1
ARHGAP1
ARHGAP12
ARHGAP17
ARHGAP25
ARHGAP29
ARHGAP4
ARHGAP5
ARHGAP6
ARHGDIB
ARHGEF1
ARHGEF10
ARHGEF10L
ARHGEF2
ARID2
ARID3A
ARPC1B
ARPC3
ARPC5
ARRB1
ARRB2
ARSB
ASCL1
ASIC2
ASPA
ASPH
ATAT1
ATG4A
ATG4B
ATG4C
ATG4D
ATM
ATOX1
ATP10D
ATP1A2
ATP1B2
ATP2B4
AURKAIP1
AVIL
AXL
B3GAT1
B3GAT2
B3GAT3
B3GNT5
B3GNT7
BACE1
BAG3
BAIAP2L1
BAX
BCAN
BCAR1
BCL2L1
BCL3
BCL6
BDH2
BGN
BIN2
BLM
BLNK
BMP1
BMP6
BMP7
BMP8B
BMPR1A
BMPR1B
BOK
BRCA1
BRD7
BRINP3
BRMS1
BSG
BST2
BTBD17
BTBD3
BTG2
BTK
BVES
C1QTNF1
C3
C3AR1
C5AR1
C5AR2
CACNB2
CACNG4
CACNG5
CALB2
CAMKMT
CAPN2
CAPN3
CAPZB
CARD11
CARD9
CARMIL1
CARNS1
CASP1
CASP2
CASP4
CASP8
CAV1
CAVIN1
CCDC88B
CCK
CCP110
CCR1
CD14
CD300A
CD300LF
CD36
CD4
CD40
CD44
CD55
CD59
CD63
CD74
CDC14A
CDC14B
CDC42EP1
CDC42EP2
CDC42EP4
CDC42EP5
CDH1
CDH13
CDH23
CDK2
CDK2AP2
CDK5RAP2
CDK5RAP3
CDKL3
CDKN1A
CDKN1C
CEACAM1
CEBPB
CEMIP
CEP120
CEP131
CEP85
CFL2
CFLAR
CFTR
CH25H
CHD7
CHI3L1
CHKA
CHMP2A
CHODL
CHRM5
CHRNA7
CHRNE
CHST9
CHTF8
CIB1
CIRBP
CKB
CLIC1
CLIC4
CLN3
CLN8
CLU
CMKLR1
CNOT11
CNOT2
CNP
CNPY3
CNTN5
CNTNAP2
COA4
COBL
COL11A2
COL19A1
COL1A2
COL3A1
COL4A3
COL6A3
COL7A1
COL9A2
COLEC12
COLGALT1
COMT
COPS5
COQ7
CORO1A
CORO1B
CORO1C
COX14
COX20
COX4I1
COX5B
COX6A1
COX7B
COX7C
CPEB2
CPLX3
CPM
CPQ
CRADD
CREB3L2
CREBL2
CSF1
CSF1R
CSF3
CSPG4
CSPG5
CSRP1
CTBS
CTDSP2
CTNNA2
CTSB
CTSC
CTSD
CTSH
CTSL
CTSS
CTSZ
CUX1
CXCL12
CXCL14
CXCR4
CXXC1
CYBA
CYBB
CYFIP1
CYP11A1
CYP1B1
CYP27A1
CYP2J2
CYP39A1
CYP3A5
CYP7B1
CYSLTR1
CYSLTR2
D2HGDH
DAB2
DAG1
DBNDD2
DBNL
DCC
DCN
DDAH1
DDAH2
DDX11
DDX31
DDX5
DDX56
DDX58
DECR1
DENND5A
DEPTOR
DGKD
DHX37
DICER1
DISP1
DLC1
DLG1
DLL1
DMAP1
DNAJB11
DNAJC3
DNM2
DOCK1
DOCK10
DOCK11
DOCK2
DOCK4
DOCK5
DOCK7
DPYSL3
DSC2
DSCAML1
DSE
DSEL
DTNA
DTNBP1
DUSP1
DUSP10
DUSP15
DUSP22
DVL1
ECE1
ECHDC2
ECI1
ECM2
EDA2R
EDN1
EDN3
EDNRA
EDNRB
EEF1A1
EEF1B2
EEF1D
EEF2
EEF2K
EFEMP1
EFNA1
EGFL7
EGFR
EHD1
EHD2
EIF3E
EIF4A1
EIF4A3
ELK4
ELL2
ELMO1
ELN
ELOVL5
EMP2
ENG
ENPP1
ENPP2
EPHA2
EPHA6
EPHB1
EPHX2
EPS8
EPS8L2
ERAP2
ERBB2
ERBB3
ERBB4
ERBIN
ERI1
ETFB
ETS1
EVC
EXOSC8
EZR
FADS1
FAM111A
FAN1
FAP
FARP2
FBL
FBLN1
FBN2
FBXO7
FCER1G
FCGR1A
FCGR2A
FCGR2B
FCGR3A
FCHSD1
FCHSD2
FERMT3
FES
FGF2
FGF20
FGFR1
FGFR2
FGFR3
FGR
FHOD1
FIS1
FLNA
FLT1
FLT3
FN1
FNTA
FNTB
FOLH1
FOLR2
FOXC1
FOXC2
FOXF1
FOXO1
FPR1
FPR3
FRMD5
FSCN1
FUT8
FUZ
FXYD1
FYN
FZD9
GAB1
GAB2
GABRE
GABRG1
GAD1
GAD2
GADD45A
GADD45B
GADD45G
GADD45GIP1
GAS6
GATA2
GCDH
GCLC
GCNT2
GDF11
GGACT
GGT5
GIT1
GLI2
GLTP
GLUD1
GLUL
GNA12
GNA13
GNA14
GNA15
GNAI1
GNAI2
GNB4
GNG11
GNG12
GNG5
GNG7
GNL2
GNL3
GNL3L
GNLY
GOLGA4
GPC2
GPC5
GPC6
GPD2
GPER1
GPIHBP1
GPM6B
GPNMB
GPR143
GPR149
GPR17
GPR37
GPR37L1
GPR4
GPR62
GPR65
GPRC5B
GPS1
GPSM2
GPT2
GPX1
GRB2
GRIA4
GRID2
GRIK1
GRIK2
GRIK3
GRIN2C
GRM3
GSDMD
GSN
GSTP1
GTF2F2
GTF2H4
HADHA
HADHB
HAMP
HAP1
HAPLN1
HAPLN2
HAPLN3
HARS2
HAS2
HBS1L
HCK
HCLS1
HDAC1
HDAC11
HDAC4
HDAC6
HES1
HEY2
HEYL
HFE
HGF
HHIP
HIBCH
HIF1A
HIP1R
HIPK2
HLA-DPA1
HLA-DPB1
HLA-E
HMGB2
HMOX1
HNRNPA2B1
HNRNPU
HOGA1
HPN
HPSE
HPSE2
HS3ST3B1
HS3ST5
HSP90AA1
HSP90B1
HSPA1A
HSPA1B
HSPA5
HSPB1
HSPG2
HTR2C
HTRA1
HYAL2
ICAM1
ID1
ID2
IFI16
IFI6
IFITM1
IFITM2
IFITM3
IGF2
IGFBP5
IKBKB
IKBKG
IL18
IL1B
IL1RAP
IL1RAPL1
IL6R
IL7
ILK
IMPA2
INHBB
INPP1
INPP5D
INPPL1
INSIG1
INSR
INTS6
IP6K3
IQGAP1
IRAK2
IRAK3
IRAK4
ISG20
ISYNA1
ITCH
ITGA11
ITGA4
ITGA7
ITGAM
ITGAV
ITGB1
ITGB2
ITGB8
ITM2C
ITPK1
ITPKB
ITPKC
ITPR2
JAG1
JAK3
JUN
JUNB
JUND
JUP
KANK1
KANK2
KAT2A
KAT2B
KCNAB1
KCNAB3
KCND2
KCNG2
KCNJ10
KCNJ16
KCNJ2
KCNJ5
KCNK6
KCNMB1
KCNMB2
KCNMB3
KCNMB4
KCNQ1
KCNQ3
KCNS3
KCTD13
KDR
KIAA1217
KIF13B
KIF18B
KIF20B
KIF25
KIT
KLF2
KLF4
KLF6
KLK6
KLKB1
LAMA2
LAMTOR1
LARP6
LAT
LAT2
LCAT
LCP1
LDLR
LDLRAD4
LDLRAP1
LEF1
LFNG
LGALS1
LGALS3
LGALS9
LGMN
LHCGR
LILRB2
LIMS1
LINGO1
LIPC
LIPG
LLGL1
LLGL2
LMAN2
LMNA
LMOD1
LPAR1
LPAR3
LPAR4
LPAR6
LPGAT1
LPL
LRP1
LRP2
LRP4
LRP5
LRP6
LRRC4C
LRRN1
LSAMP
LSG1
LTBR
LY96
LYAR
LYL1
LYN
LYPD1
MACF1
MAML2
MAML3
MAOB
MAP3K1
MAP3K11
MAP3K14
MAP3K5
MAP4K4
MAP6D1
MAPKAPK2
MAPKAPK3
MAVS
MBNL1
MBP
MCM9
MCOLN1
MCTP2
MDGA1
MDM2
MDM4
MEF2A
MEF2B
MEGF10
MEGF11
MEPE
MERTK
MET
METTL3
MFSD2A
MGLL
MICA
MID1
MID1IP1
MINK1
MIS12
MLC1
MLXIPL
MLYCD
MMD2
MMP14
MMP16
MMP2
MMS22L
MPST
MRPL16
MRPL18
MRPL20
MRPL22
MRPL24
MRPL27
MRPL41
MRPL48
MRPL51
MRPL52
MRPS15
MRPS18A
MRPS18B
MRPS28
MRPS34
MSLN
MSN
MSR1
MT3
MTIF2
MTIF3
MUS81
MUSK
MVB12A
MVB12B
MVP
MX1
MYL12A
MYL9
MYLIP
MYO10
MYO16
MYO18A
MYO1C
MYO1G
MYO6
MYO9B
MYOF
MYRF
N6AMT1
NABP1
NAGLU
NAIP
NAT8L
NCAN
NCBP1
NCF1
NCF2
NCF4
NCK1
NCK2
NCKAP1L
NCSTN
NDC1
NDRG1
NDRG2
NDST1
NDUFA13
NDUFA2
NDUFA3
NDUFA4
NDUFA8
NDUFAF6
NDUFB10
NDUFB7
NDUFS2
NDUFS5
NDUFS7
NECTIN2
NEDD4
NES
NFAM1
NFIB
NFKB2
NFKBIA
NGF
NHEJ1
NID1
NIPBL
NLGN1
NLGN3
NLRC4
NLRC5
NLRP1
NME6
NOD1
NOD2
NOL3
NOL8
NOTCH1
NOTCH2
NOTCH3
NOTCH4
NOVA1
NPC1
NPC2
NQO1
NR1H2
NR4A2
NRG1
NRP1
NSMCE1
NSMCE2
NTM
NTN1
NTNG1
NTNG2
NUMA1
NUP107
NUP188
NUP43
OAS1
OAS3
OLR1
OMG
OPCML
OPHN1
OSBPL1A
OSBPL9
OTULIN
P2RX4
P2RX6
P2RX7
P2RY1
P2RY12
P2RY6
P2RY8
P4HB
PABPC4
PADI2
PAG1
PAK1IP1
PAK2
PALM
PAN2
PAPSS2
PARD3
PARP10
PARP14
PARP9
PATL1
PATL2
PCBP4
PCP4
PCSK5
PDE3B
PDE6B
PDE7B
PDGFA
PDGFB
PDGFRA
PDGFRB
PDLIM4
PDLIM5
PDPN
PEAR1
PER1
PES1
PEX13
PEX2
PFN1
PGF
PHACTR4
PHLDB1
PIBF1
PID1
PIDD1
PIEZO1
PIEZO2
PIK3AP1
PIK3C2B
PIK3CD
PIK3CG
PIK3R1
PIK3R5
PIK3R6
PITPNC1
PIWIL2
PKD2
PKN1
PKN2
PKN3
PLA2G6
PLAGL1
PLAUR
PLCB2
PLCD1
PLCD3
PLCE1
PLCG1
PLCG2
PLCH1
PLD2
PLD4
PLEK
PLIN5
PLK1
PLK3
PLP1
PLPP3
PLPP4
PLS3
PLSCR1
PLTP
PLXNA3
PLXNB1
PLXNB2
PLXND1
PML
PMP22
PNLDC1
PNRC1
PODN
POGZ
POLD2
POLD4
POLDIP3
POLK
POLR2F
POLR2G
POLR2I
POLR2J
POLR2L
POU2F2
PPARA
PPARD
PPP1R16B
PPP1R1C
PPP2R2A
PPP2R5A
PRDM5
PRDX1
PRDX4
PRELID2
PRELP
PREX1
PREX2
PRKCA
PRKCD
PRKCQ
PRKD1
PRKD2
PRKX
PRMT2
PROX1
PRR5L
PSEN1
PSEN2
PSME1
PSME2
PSRC1
PTAFR
PTH1R
PTK2B
PTPN18
PTPN2
PTPN23
PTPN6
PTPN9
PTPRC
PTPRD
PTPRJ
PTPRK
PXN
PYCARD
RAB10
RAB13
RAB1A
RAB29
RAB31
RAB3C
RAB40B
RAB8B
RAC2
RAD51B
RANGRF
RAP1A
RAP1B
RAP2C
RAPGEF1
RAPGEF3
RARG
RARRES2
RASAL1
RASGRP4
RASSF2
RB1
RBCK1
RBM3
RBPJ
RBPMS
RBPMS2
RDX
RECQL
RECQL5
REL
RELB
RELN
REST
RFC1
RFFL
RGCC
RGN
RGS1
RGS11
RGS12
RGS16
RGS20
RGS3
RGS5
RHBDD1
RHBDF1
RHBDF2
RHOB
RHOBTB1
RHOBTB3
RHOC
RHOG
RHOH
RHOJ
RHOQ
RHOU
RICTOR
RIPOR2
RNASE6
RNPEPL1
ROBO1
ROBO2
RPF1
RPL10
RPL10A
RPL11
RPL12
RPL13
RPL13A
RPL15
RPL17
RPL18
RPL18A
RPL19
RPL21
RPL22L1
RPL23
RPL23A
RPL24
RPL26
RPL27A
RPL28
RPL29
RPL3
RPL30
RPL31
RPL32
RPL34
RPL35
RPL35A
RPL36
RPL37
RPL37A
RPL38
RPL4
RPL41
RPL6
RPL7
RPL7A
RPL8
RPL9
RPLP0
RPLP1
RPLP2
RPP38
RPS11
RPS13
RPS14
RPS15
RPS16
RPS17
RPS18
RPS19
RPS2
RPS20
RPS21
RPS23
RPS24
RPS25
RPS26
RPS27
RPS27A
RPS27L
RPS28
RPS29
RPS3
RPS3A
RPS4X
RPS5
RPS6
RPS6KA1
RPS6KB2
RPS7
RPS8
RPS9
RPSA
RRBP1
RREB1
RRP1
RTKN
RUNX1
RUNX2
RUNX3
RXRA
RYR1
RYR3
S100A1
S100A10
S100A6
S100A8
S100B
SAMD4A
SAMD4B
SAMSN1
SAR1B
SASH1
SCARB1
SCARB2
SCARF1
SCIN
SCO2
SCRIB
SDC2
SDC3
SDC4
SDS
SEC61A1
SEMA3B
SEMA3C
SEMA3E
SEMA4C
SEMA4D
SEMA5A
SEMA7A
SERPINA1
SERPINE1
SERPING1
SETD4
SETX
SFPQ
SFRP1
SGCD
SGCZ
SGK1
SGK2
SGK3
SH3BP1
SH3D19
SH3PXD2B
SH3RF1
SHARPIN
SHB
SHC2
SHISA6
SHISA8
SHTN1
SINHCAF
SIRT2
SIRT7
SLC11A1
SLC12A2
SLC12A4
SLC12A7
SLC15A4
SLC16A12
SLC1A1
SLC1A2
SLC1A3
SLC1A4
SLC1A5
SLC22A15
SLC22A18
SLC22A23
SLC22A3
SLC24A2
SLC25A13
SLC25A29
SLC25A33
SLC30A10
SLC35D1
SLC35D2
SLC35G1
SLC38A10
SLC38A11
SLC38A2
SLC38A3
SLC38A9
SLC39A1
SLC39A13
SLC3A2
SLC43A1
SLC45A3
SLC48A1
SLC52A3
SLC6A1
SLC6A12
SLC6A20
SLC6A8
SLC6A9
SLC7A10
SLC7A11
SLC7A2
SLC7A5
SLC7A7
SLC8B1
SLC9A3R1
SLC9B1
SLCO1A2
SLCO1C1
SLCO2B1
SLFN11
SLITRK2
SMAD7
SMC1A
SMC4
SMTN
SMURF1
SNX19
SNX33
SOAT1
SOCS3
SOCS6
SORBS1
SORBS3
SORL1
SOX11
SOX18
SOX4
SOX6
SOX8
SOX9
SP1
SP100
SPCS2
SPEN
SPINT2
SPN
SPOCK1
SPOCK3
SPP1
SPRED1
SRCIN1
SREBF1
SRGAP1
SRGAP2
SRGAP2B
SRGAP2C
SRI
SRPRB
SRPX2
SRR
SRRT
SSH2
SST
STAB1
STAC
STAC3
STARD10
STARD13
STAT1
STAT5A
STC1
STMN1
STMN4
STX4
STXBP3
SULF1
SULF2
SURF1
SYDE1
SYK
SYNDIG1
SYPL1
SYPL2
SYT17
SYT2
TAB2
TAC1
TACR1
TAGLN
TANK
TAOK3
TAP1
TAX1BP3
TBC1D10A
TBC1D20
TBC1D4
TBL1X
TBX2
TBX3
TCF12
TCN2
TEK
TESK1
TGFA
TGFB1
TGFB2
TGFB3
TGFBR1
THG1L
TIMM8B
TIMMDC1
TIMP1
TIMP2
TJP1
TJP2
TLL2
TLN1
TLR1
TLR10
TLR2
TLR3
TLR4
TLR5
TLR6
TLR7
TMBIM1
TMC8
TMED10
TMEFF2
TMIGD3
TMSB4X
TNFAIP3
TNFRSF10A
TNFRSF10B
TNFRSF10D
TNFRSF11B
TNFRSF1A
TNFRSF1B
TNFSF10
TNIK
TNIP2
TNNI3K
TOM1L2
TP53
TP53INP1
TPCN2
TPD52
TPD52L1
TPP1
TPR
TRADD
TRAF4
TRAPPC1
TRAPPC10
TRAPPC5
TRAPPC6A
TRHDE
TRIB1
TRIL
TRIM25
TRIM27
TRIM28
TRIM38
TRIM5
TRIM62
TRIOBP
TRPC3
TRPM3
TRPS1
TSC2
TST
TTN
TTPA
TUBB2B
TUBG1
TUFM
TULP3
TWSG1
TXK
TYRO3
UBA52
UBASH3B
UBC
UGDH
UNC93B1
UNK
UPF2
UQCC2
UQCR10
UQCRQ
USE1
USF2
USP16
USP47
UST
UTP20
UTP3
UTRN
UVSSA
VAMP3
VAMP5
VAMP8
VASH1
VASP
VAV1
VAV3
VCAM1
VCAN
VEGFA
VEGFB
VEGFC
VIM
VWC2
WAPL
WAS
WASF2
WDR55
WFS1
WIPF1
WIPI1
WLS
WNT16
WNT2B
WNT5A
WNT7B
WWC1
WWOX
WWP2
WWTR1
XAB2
XBP1
XYLT1
XYLT2
YBX3
YES1
YIF1A
ZBTB17
ZC3HAV1
ZEB1
ZFP36
ZFP36L1
ZFP36L2
ZNF143
ZNF358
ZNF365
ZNF423
ZNF430
ZNF516
ZNF622
ZNF804A
ZSWIM6
