p_val,avg_log2FC,pct.1,pct.2,p_val_adj,module,group
5.13220547111868e-114,-1.1372879062389,0.27,0.501,2.56610273555934e-113,OLI-M2,Oligodendrocyte
7.52589291745152e-32,-0.465098752201448,0.376,0.502,3.76294645872576e-31,OLI-M3,Oligodendrocyte
5.93131193786799e-10,-0.225995744806088,0.375,0.437,2.965655968934e-09,OLI-M4,Oligodendrocyte
1.08285951841838e-06,-0.151047996302582,0.402,0.426,5.41429759209192e-06,OLI-M1,Oligodendrocyte
0.46655631129405,0.00938543316288773,0.453,0.444,1,OLI-M5,Oligodendrocyte
