p_val,avg_log2FC,pct.1,pct.2,p_val_adj,module,group
7.84934119753001e-16,1.00403245039493,0.427,0.298,7.06440707777701e-15,MIC-M1,Microglia
1.39106215424461e-13,-0.614597477648825,0.342,0.465,1.25195593882015e-12,MIC-M2,Microglia
7.37469181140213e-09,-0.499540987175277,0.398,0.489,6.63722263026192e-08,MIC-M8,Microglia
1.49925486799733e-06,0.458275399713431,0.437,0.359,1.3493293811976e-05,MIC-M7,Microglia
0.000424662307480241,0.523852391033187,0.4,0.35,0.00382196076732217,MIC-M5,Microglia
0.00385785489080085,-0.240368389488098,0.381,0.429,0.0347206940172077,MIC-M9,Microglia
0.00987119446251941,-0.184788064546503,0.373,0.414,0.0888407501626747,MIC-M3,Microglia
0.164970910053265,0.151053028858356,0.37,0.357,1,MIC-M4,Microglia
0.171346655754247,-0.00947375142265983,0.39,0.418,1,MIC-M6,Microglia
